/Users/abhilashchenreddy/PycharmProjects/CQL_AC/.venv/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:241: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode: 99 | Reward: 19.0 | Policy Loss: -6.231903076171875 | critic Loss: 0.5679367780685425 | Steps: 1363
Episode: 100 | Reward: 17.0 | Policy Loss: -6.0407843589782715 | critic Loss: 0.915238082408905 | Steps: 1380
Episode: 101 | Reward: 24.0 | Policy Loss: -6.150644302368164 | critic Loss: 0.6706750392913818 | Steps: 1404
Episode: 102 | Reward: 19.0 | Policy Loss: -5.989684104919434 | critic Loss: 0.6347488164901733 | Steps: 1423
Episode: 103 | Reward: 26.0 | Policy Loss: -5.925909519195557 | critic Loss: 0.8489910364151001 | Steps: 1449
Episode: 104 | Reward: 15.0 | Policy Loss: -5.988760948181152 | critic Loss: 0.6218891143798828 | Steps: 1464
Episode: 105 | Reward: 25.0 | Policy Loss: -5.825674057006836 | critic Loss: 0.3478548526763916 | Steps: 1489
Episode: 106 | Reward: 20.0 | Policy Loss: -5.855695724487305 | critic Loss: 0.6742525100708008 | Steps: 1509
Episode: 107 | Reward: 17.0 | Policy Loss: -5.954913139343262 | critic Loss: 0.5333776473999023 | Steps: 1526
Episode: 108 | Reward: 17.0 | Policy Loss: -5.882994174957275 | critic Loss: 0.7778992056846619 | Steps: 1543
Episode: 109 | Reward: 23.0 | Policy Loss: -5.850667476654053 | critic Loss: 0.4631194472312927 | Steps: 1566
Episode: 110 | Reward: 15.0 | Policy Loss: -5.808693885803223 | critic Loss: 0.5758801698684692 | Steps: 1581
Episode: 111 | Reward: 20.0 | Policy Loss: -5.789498329162598 | critic Loss: 0.3999094069004059 | Steps: 1601
Episode: 112 | Reward: 20.0 | Policy Loss: -5.8361592292785645 | critic Loss: 0.4603152871131897 | Steps: 1621
Episode: 113 | Reward: 17.0 | Policy Loss: -5.735036849975586 | critic Loss: 0.5730850100517273 | Steps: 1638
Episode: 114 | Reward: 18.0 | Policy Loss: -5.650389194488525 | critic Loss: 0.7682386636734009 | Steps: 1656
Episode: 115 | Reward: 15.0 | Policy Loss: -5.726407527923584 | critic Loss: 0.4650327265262604 | Steps: 1671
Episode: 116 | Reward: 19.0 | Policy Loss: -5.7397589683532715 | critic Loss: 0.44445595145225525 | Steps: 1690
Episode: 117 | Reward: 30.0 | Policy Loss: -5.711695194244385 | critic Loss: 0.33461397886276245 | Steps: 1720
Episode: 118 | Reward: 24.0 | Policy Loss: -5.637660026550293 | critic Loss: 0.4123401641845703 | Steps: 1744
Episode: 119 | Reward: 29.0 | Policy Loss: -5.48429536819458 | critic Loss: 0.453951895236969 | Steps: 1773
Episode: 120 | Reward: 19.0 | Policy Loss: -5.54459810256958 | critic Loss: 0.32324621081352234 | Steps: 1792
Episode: 121 | Reward: 17.0 | Policy Loss: -5.50403356552124 | critic Loss: 0.5151252746582031 | Steps: 1809
Episode: 122 | Reward: 15.0 | Policy Loss: -5.3804216384887695 | critic Loss: 0.5941334962844849 | Steps: 1824
Episode: 123 | Reward: 21.0 | Policy Loss: -5.480797290802002 | critic Loss: 0.3342270255088806 | Steps: 1845
Episode: 124 | Reward: 27.0 | Policy Loss: -5.475385665893555 | critic Loss: 0.45067545771598816 | Steps: 1872
Episode: 125 | Reward: 26.0 | Policy Loss: -5.4626688957214355 | critic Loss: 0.3669453263282776 | Steps: 1898
Episode: 126 | Reward: 18.0 | Policy Loss: -5.3926167488098145 | critic Loss: 0.4548003077507019 | Steps: 1916
Episode: 127 | Reward: 19.0 | Policy Loss: -5.296805381774902 | critic Loss: 0.25717848539352417 | Steps: 1935
Episode: 128 | Reward: 20.0 | Policy Loss: -5.330091953277588 | critic Loss: 0.43123510479927063 | Steps: 1955
Episode: 129 | Reward: 25.0 | Policy Loss: -5.369691371917725 | critic Loss: 0.20046058297157288 | Steps: 1980
Episode: 130 | Reward: 21.0 | Policy Loss: -5.271392822265625 | critic Loss: 0.2969406843185425 | Steps: 2001
Episode: 131 | Reward: 18.0 | Policy Loss: -5.332417011260986 | critic Loss: 0.41703176498413086 | Steps: 2019
Episode: 132 | Reward: 24.0 | Policy Loss: -5.219758987426758 | critic Loss: 0.3159918487071991 | Steps: 2043
Episode: 133 | Reward: 20.0 | Policy Loss: -5.241629600524902 | critic Loss: 0.34840893745422363 | Steps: 2063
Episode: 134 | Reward: 21.0 | Policy Loss: -5.26747989654541 | critic Loss: 0.2968081533908844 | Steps: 2084
Episode: 135 | Reward: 21.0 | Policy Loss: -5.118217468261719 | critic Loss: 0.1513199806213379 | Steps: 2105
Episode: 136 | Reward: 29.0 | Policy Loss: -5.110743045806885 | critic Loss: 0.18704701960086823 | Steps: 2134
Episode: 137 | Reward: 29.0 | Policy Loss: -5.1465044021606445 | critic Loss: 0.3483673930168152 | Steps: 2163
Episode: 138 | Reward: 31.0 | Policy Loss: -5.103981018066406 | critic Loss: 0.32599931955337524 | Steps: 2194
Episode: 139 | Reward: 21.0 | Policy Loss: -5.218325614929199 | critic Loss: 0.2778605818748474 | Steps: 2215
Episode: 140 | Reward: 18.0 | Policy Loss: -5.209794998168945 | critic Loss: 0.3882369101047516 | Steps: 2233
Episode: 141 | Reward: 18.0 | Policy Loss: -5.140657424926758 | critic Loss: 0.24014754593372345 | Steps: 2251
Episode: 142 | Reward: 25.0 | Policy Loss: -5.008856773376465 | critic Loss: 0.3935660719871521 | Steps: 2276
Episode: 143 | Reward: 26.0 | Policy Loss: -5.1217756271362305 | critic Loss: 0.20958368480205536 | Steps: 2302
Episode: 144 | Reward: 32.0 | Policy Loss: -5.019441604614258 | critic Loss: 0.22344538569450378 | Steps: 2334
Episode: 145 | Reward: 32.0 | Policy Loss: -5.1398210525512695 | critic Loss: 0.18896956741809845 | Steps: 2366
Episode: 146 | Reward: 36.0 | Policy Loss: -4.979853630065918 | critic Loss: 0.24279525876045227 | Steps: 2402
Episode: 147 | Reward: 37.0 | Policy Loss: -5.055518627166748 | critic Loss: 0.2091791033744812 | Steps: 2439
Episode: 148 | Reward: 38.0 | Policy Loss: -5.068374156951904 | critic Loss: 0.19102543592453003 | Steps: 2477
Episode: 149 | Reward: 34.0 | Policy Loss: -5.027964115142822 | critic Loss: 0.1626058965921402 | Steps: 2511
Episode: 150 | Reward: 28.0 | Policy Loss: -5.065280914306641 | critic Loss: 0.17077310383319855 | Steps: 2539
Episode: 151 | Reward: 36.0 | Policy Loss: -5.016235828399658 | critic Loss: 0.33439895510673523 | Steps: 2575
Episode: 152 | Reward: 24.0 | Policy Loss: -5.065666675567627 | critic Loss: 0.22582629323005676 | Steps: 2599
Episode: 153 | Reward: 32.0 | Policy Loss: -5.064848899841309 | critic Loss: 0.21000288426876068 | Steps: 2631
